"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"111","Skill","Fight with Honor","Warrior","","0","1","-","3","","","Slow","Silence","","Instant Ability"," ","Battle means nothing if not fought with dignity.","Wasan Techawibulchai","c796bc18220641a084db48de94de666f","Gray","","S2","Class",""
"112","Skill","Goad","Warrior","","0","1","-","2","","","Slow","","Disarm","Instant Debuff","{Disarm 2} [d] target opponent.","""Your sword hand is weak, jarl. Do they teach you nothing in the east?""","Mario Vazquez","8bc6ac934efa4359b06f40b414e13cd6","Gray","","S2","Class",""
"113","Skill","Intimidate","Warrior","","0","2","-","2","","","","","Disarm","Debuff","{Disarm 3} [d] target opponent whom the last card you resolved against this turn was an {Attack}.","A glare is worth a thousand words.","Uros Sljivic","cd178cc681f145f5950e2d02bf65b6fa","Gray","","S2","Class",""
"114","Skill","Lame","Warrior","-","1","2","-","1","","","","","Disarm","Debuff Attack","Deal 7 damage to target enemy. {Slow 3} [o] them.","In The Skels, incapacitating a foe is worse than finishing them off.","Wasan Techawibulchai","408dea19a26a4a82b8141b9770ae1d5e","Gray","","S2","Class",""
"115","Skill","Pommel Strike","Warrior","-","2","2","+","1","","","Slow","Silence","Disarm","Instant Ability Debuff Attack","Deal 5 damage to target enemy. {Disarm 2} [d] them. {Stun} them. <(They lose a resource of their choice.)>","A great warrior does not let the blade define him.","Benjamin Goutte","58f137abea294d6395cc5fc1b5db2443","Gray","","S2","Class",""
"116","Skill","Seize the Day","Warrior","","0","2","-","","","","","Silence","","Ability","Gain [n]. {Frenzy} - gain another [n].","The strong are remembered for a lifetime. The valorous are remembered for ages.","Wasan Techawibulchai","f0c0d98db1f9426c90902cee976e915e","Gray","","S2","Class",""
"117","Skill","Sever","Warrior","-","1","1","+","1","","","","","Disarm","Attack","Deal 4 damage to target enemy. {Frenzy} - gain 1 more [p].","With every victory, a warrior hopes that Vanoc is watching.","Mario Vazquez","f3257bd9dd804293aaee132ef194edf3","Gray","","S2","Class",""
"118","Skill","Tenacity","Warrior","","0","0","","","","H","","","","Ability Buff","Remove two instances of {Control} from yourself and gain [mi] [mi].","The Wintersea is not an option.","Wasan Techawibulchai","b662ae6cf1f54d4797623621f62e054b","Gray","","S2","Class",""
"119","Skill","Warrior's Banner","Warrior","-","1","1","+","2","","H","","","","Aura","{Attach} to target empty tile. At the start of your turn, if you're {near} {Banner of the Warrior}, gain [p].","Little fills the heart of a warrior with pride more than the sight of their clan's colors.","Wojtek Depczynski","ab4b50f8230f4f758507ba63e586e261","Gray","","S2","Class",""
"120","Skill","Warrior's Strike","Warrior","-","1","1","+","1","","","","","Disarm","Attack","Deal 6 damage to target enemy.","A swift death is a mercy, for the Winter has none.","Septimius Ferdian","61fbe2bd8ac342a68ddd176b1699b031","Gray","","S2","Class",""
"121","Skill","Cease to Be","Incarnate","-","1","2","-","3","","","","","Disarm","Debuff Attack","Deal 7 damage to target enemy. {Breach} - they discard two {unrevealed} cards. <(This card has Breach if the target has a revealed card in their hand.)>","","Simon Tjong","32759a7c165849268e1e92d69237897a","White","","S0","Spec",""
"122","Skill","Crackle","Incarnate","-","1","3","-","3","","","","Silence","Disarm","Ability Debuff","{Slow 2} [o] and {Disarm 2} [d] target opponent. They {Reveal} two cards from their hand.","Some eauath have no respect for the free will of men.","Wojtek Depczynski","73cbaa87691f42b1b0133e9f225d0bbe","White","","S0","Spec",""
"123","Skill","Disperse","Incarnate","","0","1","-","","","","Slow","","Disarm","Instant Buff","Deal 4 damage to yourself. {Attach} to yourself until the end of the turn. You can't be targeted by enemies. After you play a card, {Destroy} {Disperse}.","","Nikita Volobuev","7dc5df874d6b4f818752f01f237da15b","White","","S0","Spec",""
"124","Skill","End","Incarnate","-","2","4","-","3","","","","","Disarm","Attack","Deal 8 damage to target enemy plus 3 more damage for each {Revealed} card in their hand.","Perish.","Wojtek Depczynski","c9aaf985baac48fc8cb16269d9fae57c","White","","S0","Spec",""
"125","Skill","Intrude","Incarnate","","0","1","-","3","","","","Silence","","Ability","Target enemy {Reveals} two cards from their hand. Then, you may have them discard a {Revealed} card of your choice.","You becomes me.","Simon Tjong","e66dc76253a2476083d2715c99b64a71","White","","S0","Spec",""
"126","Skill","Pulse","Incarnate","-","1","2","+","","","","","Silence","","Ability","Each player draws a card, then {Reveals} a card from their hand.","Even during a massacre, incarnates will search for a suitable host.","Benjamin Goutte","e5cce443a551405e91987d1e05044fa6","White","","S0","Spec",""
"127","Skill","Splinter","Incarnate","-","1","1","+","3","","","","","Disarm","Attack","Deal damage to target enemy equal to your [p]. {Splinter} can cause you to exceed your max [p].","Incarnates view men as their greatest threat, and act accordingly.","Nikita Volobuev","24c19480602a4eafa2187e975ef8026a","White","","S0","Spec",""
"128","Skill","Stabilize","Incarnate","","0","1","-","","","","","Silence","","Aura","Draw a card. {Attach} to yourself. At the start of your turn, heal yourself 1 HP.","A host sometimes must be sustained.","Piotr Arendzikowski","baa23f87badf4a1d9f7a0cad28b46a18","White","","S0","Spec",""
"129","Skill","Unbind","Incarnate","","0","0","","","","H","","","","Ability","Remove two instances of {Control} from yourself. Draw a card.","An unwilling host harbors unstable power.","Piotr Arendzikowski","caac54e97ca64ff6a1e1e7c7fbf32208","White","","S0","Spec",""
"130","Skill","Unmake","Incarnate","","0","3","-","3","","","","Silence","Disarm","Ability Attack","Choose {two}: - {Destroy} target card. - Deal 3 damage to target enemy. You may choose the same mode twice.","Katia was a brave woman. Then, she simply wasn't.","Nikita Volobuev","7bc038aa1b5643e382e7e03ddec1d3d2","White","","S0","Spec",""
"131","Skill","Bind","Avatar","-","2","2","+","3","","","","","Disarm","Debuff","{Slow 2} [o] target opponent. {Disarm 2} [d] them.","Most Avatars do not wish to fight. They will do what they must to disable their foes.","Dimas Pamungkas","a03ebe1bee3f4c009cf6912d8ecd8afc","White","Blue","S0","Spec",""
"132","Skill","Insight","Avatar","-","1","1","+","","","","","Silence","","Ability","Look at the top three cards of your deck. Put any number on the bottom and the rest on top in any order. Draw a card.","Winter Crystal focuses the connection between eauath and host.","Benjamin Goutte","2d3c960ee94245fab3e659bc761aaf6d","White","Blue","S0","Spec",""
"133","Skill","Pacify","Avatar","-","1","1","-","3","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays 3 {Resources}.","An Avatar's link to the spiritual is so strong they can influence the thoughts of others.","Nikita Volobuev","af042ff3e906461b938eb4d0437e3a9b","White","Blue","S0","Spec",""
"134","Skill","Placate","Avatar","","0","2","-","3","","","","","Disarm","Debuff Attack","Deal 3 damage to target enemy. {Silence 1} [i] and {Disarm 1} [d] them.","Some mistake an avatar's patience for weakness.","Wasan Techawibulchai","b486fbdf84ba4f1fa0795ab3e231d087","White","Blue","S0","Spec",""
"135","Skill","Renew","Avatar","-","2","2","+","3","","","","Silence","","Ability","Heal target player 5 HP. Draw a card.","Avatars would give their lives for each other, no matter the price.","Nikita Volobuev","4a45ade974894344b8563d530f00b5e5","White","Blue","S0","Spec",""
"136","Skill","Repercussion","Avatar","-","1","2","-","3","","","Slow","","Disarm","Instant Debuff Attack","Deal 5 damage to target enemy. Choose one: - {Slow 2} [o] them. - {Silence 2} [i] them.","Eventually, there is always a price to pay.","Wasan Techawibulchai","81eef3ba006a45a693cb128639ad3ebd","White","Blue","S0","Spec",""
"137","Skill","Repurpose","Avatar","-","1","1","+","3","","","Slow","Silence","","Instant Ability","Choose one: - {Destroy} target card. - Draw a card.","Eauath with a strong bond to their host shape reality as they see fit.","Wasan Techawibulchai","d37963eb0a364d8a8b8ad8c7665eed71","White","Blue","S0","Spec",""
"138","Skill","Tranquility","Avatar","","0","3","-","3","","","","Silence","","Aura","{Attach} to target player. At the start of their turn, they gain [n].","Peace is a state of mind, not a condition.","Simon Tjong","a956642ad2174c8c89ae135d0b53c61e","White","Blue","S0","Spec",""
"139","Skill","Uninhibit","Avatar","-","1","1","+","","","H","","","","Ability","Remove two instances of {Control} from yourself.","When the spirit yearns for freedom, the body is close behind.","Nikita Volobuev","3e8b41a943904e2685ee1622b64e9410","White","Blue","S0","Spec",""
"140","Skill","Wise Words","Avatar","","0","3","-","3","","","","Silence","","Ability","Heal target player 4 HP. They draw two cards.","Not all in this world is written in black and white. There are infinite shades of gray.","Dimas Pamungkas","21614d67de6b4f9d8feb239adc56f7ad","White","Blue","S0","Spec",""
"141","Skill","Blackout","Ebon Mage","-","1","3","+","","","","","Silence","","Ability","Discard a card.","Ebon mages undergo a harrowing journey through the Wintersea to acquire artifacts.","Piotr Arendzikowski","ab01744766da4665aafbf17733cb4d6c","Black","","S0","Spec",""
"142","Skill","Dark Sigil","Ebon Mage","","0","1","-","3","","","Slow","","Disarm","Instant Debuff","{Attach} to target opponent until the start of your next turn. If you would receive {Control}, instead they receive the {Control}. Then, {Destroy} {Dark Sigil}.","Without the proper wards, the twisted whispers of the Wintersea can be fatal.","Jenna Drummonds","8853b691e8084e99b4e7ec59f819f523","Black","","S0","Spec",""
"143","Skill","Doom Hex","Ebon Mage","-","1","5","-","3","","","","","Disarm","Attack","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> Deal 14 damage to target enemy.","","Wasan Techawibulchai","a994da6557ec4f1cb28ff6f05d3f0729","Black","","S0","Spec",""
"144","Skill","Ebon Bolt","Ebon Mage","-","1","1","+","3","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Silence 2} [i] yourself.","Covens are led by ebon mages, their power and resolve renowned throughout the isles.","Nikita Volobuev","880b555c0ed947d48484ec7c5c2c2e10","Black","","S0","Spec",""
"145","Skill","Ill Omen","Ebon Mage","-","1","1","+","3","","","Slow","","Disarm","Instant Debuff","Choose one: - {Slow 1} [o] target opponent. - {Disarm 1} [d] target opponent. {Silence 1} [i] yourself.","Fear is an excellent catalyst for dark magic.","Mario Vazquez","c429561322a34479abb09f8150b29482","Black","","S0","Spec",""
"146","Skill","Nightfall","Ebon Mage","","0","2","-","","","H","","","","Ability","Draw two cards.","Powerful witchcraft can warp the world around it, and when the moon and sky turn red, it is called the Witching Moon.","Dario Marzadori","0503ec99a6234735ade3ead48aa16556","Black","","S0","Spec",""
"147","Skill","Nightmare","Ebon Mage","-","2","2","+","3","","","","Silence","Disarm","Ability Attack","Deal 4 damage to target enemy. You may play an {Ability} card from your discard targeting them.","Skelanders do not fear death itself, but the endless Winter that awaits them beyond it.","Wasan Techawibulchai","eed3cdc6c6544c64b4eb595f5985f0d9","Black","","S0","Spec",""
"148","Skill","Shadow Lance","Ebon Mage","-","1","2","-","3","","","Slow","","Disarm","Travel Attack","Deal 6 damage to target enemy. {Travel} them up to two tiles away from you.","Ebon mages channel the power of the Wintersea through the artifacts they acquire.","Wojtek Depczynski","4c6a468dc067447f91613dbf71cfb75d","Black","","S0","Spec",""
"149","Skill","Shadowfeed","Ebon Mage","-","1","1","+","3","","","","Silence","","Ability","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> Choose one: - {Destroy} target card. - Heal yourself 4 HP. - Gain 1 more [p].","","Nikita Volobuev","b5af94f8533047e3a95c306061054316","Black","","S0","Spec",""
"150","Skill","Taint","Ebon Mage","","0","2","-","3","","","","Silence","","Aura","{Attach} to target opponent. At the start of your turn, {Stun} them. <(They lose a resource of their choice.)> After a {Resource} is removed in this way, gain 1 [p].","","Nikita Volobuev","f983ea2d945a4626a33ec91f45ea39c6","Black","","S0","Spec",""
"151","Skill","Blackfire Scars","Curseblade","-","2","2","+","3","","","","Silence","","Aura","{Attach} to target opponent. After you attach another card to them, deal 3 damage to and {Disarm 1} [d] them.","A quick cut. A permanent scar.","Wasan Techawibulchai","fc0142664abc40fabece377401e9f309","Black","Red","S0","Spec",""
"152","Skill","Curse of Hysteria","Curseblade","","0","2","-","3","","","","Silence","","Aura","{Attach} to target opponent. After they receive {Control}, deal 1 damage to them for each instance of {Control} they receive.","The wound isn't the worst part.","Wojtek Depczynski","b04a16a995c94df8a4ad742fabaf6b18","Black","Red","S0","Spec",""
"153","Skill","Curse of Mania","Curseblade","-","1","3","-","3","","","","Silence","","Aura","{Attach} to target opponent. After they resolve their first card during their turn, they discard a card. If they can't, deal 4 damage to them.","","Mario Vazquez","d79290f53cac4ab3957bef1a36d3708b","Black","Red","S0","Spec",""
"154","Skill","Ebon Feint","Curseblade","-","1","2","+","1","","","","Silence","Disarm","Ability Debuff","{Slow 2} [o] target opponent. They {Reveal} a card from their hand.","A keen mind is as deadly as a keen blade.","Wasan Techawibulchai","7024bd759c444a5f877930c207cceecc","Black","Red","S0","Spec",""
"155","Skill","Ebon Powder","Curseblade","","0","1","-","1","","H","","","","Instant Debuff","Apply an instance of a {Control} type of your choice to target opponent.","A touch of power and a dash of malice.","Cynthia F.G.","c0fa537fdcf544989f5ea48ae6b09ff6","Black","Red","S0","Spec",""
"156","Skill","Entropic Grasp","Curseblade","-","1","2","-","3","","","","","Disarm","Debuff","Choose {two}: - {Slow 3} [o] target opponent. - {Silence 3} [i] target opponent. - {Disarm 3} [d] target opponent.","Curseblades imbue their curses into the dagger itself, afflicting the victim on delivery.","Benjamin Goutte","2d9150d85dcf4087a4e3dd19b82f8133","Black","Red","S0","Spec",""
